benchmark,model,signal,coverage,accepted_tasks,selective_failure_rate,selective_accuracy
ExecRepoBench-120,claude-sonnet-5,aggregate,0.9,108,0.2222222222222222,0.7777777777777778
ExecRepoBench-120,claude-sonnet-5,aggregate,1.0,120,0.25833333333333336,0.7416666666666667
ExecRepoBench-120,qwen3-coder-plus,api,0.1,12,0.08333333333333333,0.9166666666666666
ExecRepoBench-120,qwen3-coder-plus,api,0.2,24,0.25,0.75
ExecRepoBench-120,qwen3-coder-plus,api,0.3,36,0.3333333333333333,0.6666666666666667
ExecRepoBench-120,qwen3-coder-plus,api,0.5,60,0.35,0.65
ExecRepoBench-120,qwen3-coder-plus,api,0.7,84,0.36904761904761907,0.6309523809523809
ExecRepoBench-120,qwen3-coder-plus,api,0.9,108,0.39814814814814814,0.6018518518518519
ExecRepoBench-120,qwen3-coder-plus,api,1.0,120,0.4,0.6
ExecRepoBench-120,qwen3-coder-plus,context,0.1,12,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,qwen3-coder-plus,context,0.2,24,0.5833333333333334,0.41666666666666663
ExecRepoBench-120,qwen3-coder-plus,context,0.3,36,0.3888888888888889,0.6111111111111112
ExecRepoBench-120,qwen3-coder-plus,context,0.5,60,0.4166666666666667,0.5833333333333333
ExecRepoBench-120,qwen3-coder-plus,context,0.7,84,0.39285714285714285,0.6071428571428572
ExecRepoBench-120,qwen3-coder-plus,context,0.9,108,0.3888888888888889,0.6111111111111112
ExecRepoBench-120,qwen3-coder-plus,context,1.0,120,0.4,0.6
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.1,12,0.3333333333333333,0.6666666666666667
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.2,24,0.4166666666666667,0.5833333333333333
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.3,36,0.4722222222222222,0.5277777777777778
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.5,60,0.38333333333333336,0.6166666666666667
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.7,84,0.40476190476190477,0.5952380952380952
ExecRepoBench-120,qwen3-coder-plus,similar_code,0.9,108,0.42592592592592593,0.5740740740740741
ExecRepoBench-120,qwen3-coder-plus,similar_code,1.0,120,0.4,0.6
ExecRepoBench-120,qwen3-coder-plus,generation,0.1,12,0.3333333333333333,0.6666666666666667
ExecRepoBench-120,qwen3-coder-plus,generation,0.2,24,0.3333333333333333,0.6666666666666667
