model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gemini-2.5-flash,test_failure_deferral,Pre-repair test failure,0.5,0.75,5,120,60.0,0.5,True,0.7033333333333334,0.017950549357115,0.675,0.725,0.6166666666666667,0.0,0.6166666666666667,0.6166666666666667,0.5,0.0,0.5,0.5,0.38333333333333336,0.0,0.38333333333333336,0.38333333333333336,0.6973684210526315,0.0,0.6973684210526315,0.6973684210526315,0.8833333333333333,0.0,0.8833333333333333,0.8833333333333333,0.11666666666666667,0.0,0.11666666666666667,0.11666666666666667,0.6733333333333333,0.03590109871423001,0.6166666666666667,0.7166666666666667,1.4894836120020465,0.08137632627306482,1.3953488372093024,1.6216216216216217
gemini-2.5-flash,aggregate_uncertainty_deferral,Aggregate uncertainty,0.1,0.75,5,120,12.0,0.1,True,0.425,0.016666666666666663,0.4,0.45,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.9,0.0,0.9,0.9,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.13157894736842105,0.0,0.13157894736842105,0.13157894736842105,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.16666666666666669,0.3333333333333333,0.8333333333333334,1.8828571428571428,0.6169311806292928,1.2,3.0
gemini-2.5-flash,aggregate_uncertainty_deferral,Aggregate uncertainty,0.2,0.75,5,120,24.0,0.2,True,0.4716666666666667,0.011303883305208772,0.4583333333333333,0.49166666666666664,0.3854166666666667,0.0,0.3854166666666667,0.3854166666666667,0.8,0.0,0.8,0.8,0.6145833333333334,0.0,0.6145833333333334,0.6145833333333334,0.2236842105263158,0.0,0.2236842105263158,0.2236842105263158,0.7083333333333334,0.0,0.7083333333333334,0.7083333333333334,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,0.525,0.056519416526043906,0.4583333333333333,0.625,1.9255944055944056,0.1944456365664576,1.6,2.1818181818181817
gemini-2.5-flash,aggregate_uncertainty_deferral,Aggregate uncertainty,0.5,0.75,5,120,60.0,0.5,True,0.6233333333333333,0.006236095644623214,0.6166666666666667,0.6333333333333333,0.43333333333333335,0.0,0.43333333333333335,0.43333333333333335,0.5,0.0,0.5,0.5,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.5526315789473685,0.0,0.5526315789473685,0.5526315789473685,0.7,0.0,0.7,0.7,0.3,0.0,0.3,0.3,0.5133333333333333,0.012472191289246475,0.5,0.5333333333333333,1.9491935483870968,0.04699613640107569,1.875,2.0
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.1,0.75,5,120,12.0,0.1,True,0.425,0.009128709291752777,0.4083333333333333,0.43333333333333335,0.39814814814814814,0.0,0.39814814814814814,0.39814814814814814,0.9,0.0,0.9,0.9,0.6018518518518519,0.0,0.6018518518518519,0.6018518518518519,0.14473684210526316,0.0,0.14473684210526316,0.14473684210526316,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.09128709291752767,0.4166666666666667,0.6666666666666666,1.7657142857142856,0.3313053958300746,1.5,2.4
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.2,0.75,5,120,24.0,0.2,True,0.44666666666666666,0.01247219128924647,0.425,0.4583333333333333,0.3645833333333333,0.0,0.3645833333333333,0.3645833333333333,0.8,0.0,0.8,0.8,0.6354166666666666,0.0,0.6354166666666666,0.6354166666666666,0.19736842105263158,0.0,0.19736842105263158,0.19736842105263158,0.625,0.0,0.625,0.625,0.375,0.0,0.375,0.375,0.4,0.062360956446232345,0.2916666666666667,0.4583333333333333,2.5717748917748917,0.46405685839850475,2.1818181818181817,3.4285714285714284
gemini-2.5-flash,source_specific_opencoderx_deferral,Source-specific OpenCoderX,0.5,0.75,5,120,60.0,0.5,True,0.6066666666666667,0.016158932858054424,0.5833333333333334,0.625,0.4,0.0,0.4,0.4,0.5,0.0,0.5,0.5,0.6,0.0,0.6,0.6,0.5263157894736842,0.0,0.5263157894736842,0.5263157894736842,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.48000000000000004,0.032317865716108875,0.43333333333333335,0.5166666666666667,2.0928748670684154,0.14190619429000595,1.935483870967742,2.3076923076923075
gemini-2.5-flash,oracle_deferral,Oracle (upper bound),0.1,0.75,5,120,12.0,0.1,True,0.4366666666666667,0.01247219128924647,0.4166666666666667,0.45,0.4074074074074074,0.0,0.4074074074074074,0.4074074074074074,0.9,0.0,0.9,0.9,0.5925925925925926,0.0,0.5925925925925926,0.5925925925925926,0.15789473684210525,0.0,0.15789473684210525,0.15789473684210525,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.12472191289246473,0.5,0.8333333333333334,1.48,0.2925747767665559,1.2,2.0
gemini-2.5-flash,oracle_deferral,Oracle (upper bound),0.2,0.75,5,120,24.0,0.2,True,0.5133333333333333,0.015456030825826184,0.49166666666666664,0.5333333333333333,0.4583333333333333,0.0,0.4583333333333333,0.4583333333333333,0.8,0.0,0.8,0.8,0.5416666666666666,0.0,0.5416666666666666,0.5416666666666666,0.3157894736842105,0.0,0.3157894736842105,0.3157894736842105,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.07728015412913088,0.625,0.8333333333333334,1.379298245614035,0.14901502813073159,1.2,1.6
gemini-2.5-flash,oracle_deferral,Oracle (upper bound),0.5,0.75,5,120,60.0,0.5,True,0.7483333333333333,0.021343747458109488,0.7166666666666667,0.7833333333333333,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333,0.5,0.0,0.5,0.5,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.7894736842105263,0.0,0.7894736842105263,0.7894736842105263,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7633333333333333,0.04268749491621902,0.7,0.8333333333333334,1.314120082815735,0.07305155281820894,1.2,1.4285714285714286
