model,policy,policy_label,review_budget,reviewer_success,seeds,tasks,mean_reviewed_tasks,mean_actual_review_rate,simulation,mean_team_success_rate,sd_team_success_rate,min_team_success_rate,max_team_success_rate,mean_selective_accuracy,sd_selective_accuracy,min_selective_accuracy,max_selective_accuracy,mean_autonomous_coverage,sd_autonomous_coverage,min_autonomous_coverage,max_autonomous_coverage,mean_autonomous_failure_rate,sd_autonomous_failure_rate,min_autonomous_failure_rate,max_autonomous_failure_rate,mean_failure_capture_rate,sd_failure_capture_rate,min_failure_capture_rate,max_failure_capture_rate,mean_deferral_precision,sd_deferral_precision,min_deferral_precision,max_deferral_precision,mean_unnecessary_review_rate,sd_unnecessary_review_rate,min_unnecessary_review_rate,max_unnecessary_review_rate,mean_errors_prevented_per_review,sd_errors_prevented_per_review,min_errors_prevented_per_review,max_errors_prevented_per_review,mean_reviews_per_prevented_failure,sd_reviews_per_prevented_failure,min_reviews_per_prevented_failure,max_reviews_per_prevented_failure
gpt-4o-mini,random_deferral,Random,0.1,0.75,5,120,12.0,0.1,True,0.35666666666666663,0.00971825315807551,0.35,0.375,0.30185185185185187,0.01111111111111112,0.28703703703703703,0.3148148148148148,0.9,0.0,0.9,0.9,0.6981481481481482,0.011111111111111079,0.6851851851851852,0.7129629629629629,0.09156626506024096,0.014457831325301209,0.07228915662650602,0.10843373493975904,0.6333333333333333,0.09999999999999999,0.5,0.75,0.3666666666666667,0.1,0.25,0.5,0.48333333333333334,0.09718253158075499,0.4166666666666667,0.6666666666666666,2.14,0.35552777669262353,1.5,2.4
gpt-4o-mini,random_deferral,Random,0.1,0.9,5,120,12.0,0.1,True,0.36333333333333334,0.008498365855987977,0.35,0.375,0.30185185185185187,0.01111111111111112,0.28703703703703703,0.3148148148148148,0.9,0.0,0.9,0.9,0.6981481481481482,0.011111111111111079,0.6851851851851852,0.7129629629629629,0.09156626506024096,0.014457831325301209,0.07228915662650602,0.10843373493975904,0.6333333333333333,0.09999999999999999,0.5,0.75,0.3666666666666667,0.1,0.25,0.5,0.55,0.08498365855987974,0.4166666666666667,0.6666666666666666,1.8657142857142857,0.3108382347190662,1.5,2.4
gpt-4o-mini,random_deferral,Random,0.1,1.0,5,120,12.0,0.1,True,0.37166666666666665,0.010000000000000016,0.35833333333333334,0.38333333333333336,0.30185185185185187,0.01111111111111112,0.28703703703703703,0.3148148148148148,0.9,0.0,0.9,0.9,0.6981481481481482,0.011111111111111079,0.6851851851851852,0.7129629629629629,0.09156626506024096,0.014457831325301209,0.07228915662650602,0.10843373493975904,0.6333333333333333,0.09999999999999999,0.5,0.75,0.3666666666666667,0.1,0.25,0.5,0.6333333333333333,0.09999999999999999,0.5,0.75,1.619047619047619,0.25555062599997597,1.3333333333333333,2.0
gpt-4o-mini,random_deferral,Random,0.2,0.6,5,120,24.0,0.2,True,0.38166666666666665,0.02198484326378821,0.35,0.4166666666666667,0.29791666666666666,0.01692508000965826,0.2708333333333333,0.3229166666666667,0.8,0.0,0.8,0.8,0.7020833333333333,0.016925080009658235,0.6770833333333334,0.7291666666666666,0.18795180722891566,0.019575996155749304,0.1566265060240964,0.21686746987951808,0.65,0.06770032003863301,0.5416666666666666,0.75,0.35,0.067700320038633,0.25,0.4583333333333333,0.36666666666666664,0.10992421631894098,0.20833333333333334,0.5416666666666666,3.0092307692307694,0.9930694750361229,1.8461538461538463,4.8
gpt-4o-mini,random_deferral,Random,0.2,0.75,5,120,24.0,0.2,True,0.4033333333333333,0.0214734978778752,0.375,0.44166666666666665,0.29791666666666666,0.01692508000965826,0.2708333333333333,0.3229166666666667,0.8,0.0,0.8,0.8,0.7020833333333333,0.016925080009658235,0.6770833333333334,0.7291666666666666,0.18795180722891566,0.019575996155749304,0.1566265060240964,0.21686746987951808,0.65,0.06770032003863301,0.5416666666666666,0.75,0.35,0.067700320038633,0.25,0.4583333333333333,0.475,0.10736748938937604,0.3333333333333333,0.6666666666666666,2.209090909090909,0.4755162483862553,1.5,3.0
gpt-4o-mini,random_deferral,Random,0.2,0.9,5,120,24.0,0.2,True,0.4216666666666667,0.014529663145135568,0.4,0.44166666666666665,0.29791666666666666,0.01692508000965826,0.2708333333333333,0.3229166666666667,0.8,0.0,0.8,0.8,0.7020833333333333,0.016925080009658235,0.6770833333333334,0.7291666666666666,0.18795180722891566,0.019575996155749304,0.1566265060240964,0.21686746987951808,0.65,0.06770032003863301,0.5416666666666666,0.75,0.35,0.067700320038633,0.25,0.4583333333333333,0.5666666666666667,0.0726483157256779,0.4583333333333333,0.6666666666666666,1.794825174825175,0.23660582618294834,1.5,2.1818181818181817
gpt-4o-mini,random_deferral,Random,0.2,1.0,5,120,24.0,0.2,True,0.43833333333333335,0.013540064007726586,0.4166666666666667,0.4583333333333333,0.29791666666666666,0.01692508000965826,0.2708333333333333,0.3229166666666667,0.8,0.0,0.8,0.8,0.7020833333333333,0.016925080009658235,0.6770833333333334,0.7291666666666666,0.18795180722891566,0.019575996155749304,0.1566265060240964,0.21686746987951808,0.65,0.06770032003863301,0.5416666666666666,0.75,0.35,0.067700320038633,0.25,0.4583333333333333,0.65,0.06770032003863301,0.5416666666666666,0.75,1.555897435897436,0.1685097304521841,1.3333333333333333,1.8461538461538463
gpt-4o-mini,random_deferral,Random,0.3,0.6,5,120,36.0,0.3,True,0.42833333333333334,0.02273030282830975,0.39166666666666666,0.4583333333333333,0.30714285714285716,0.01388321879725073,0.2857142857142857,0.32142857142857145,0.7,0.0,0.7,0.7,0.6928571428571428,0.0138832187972507,0.6785714285714286,0.7142857142857143,0.2987951807228916,0.014050486493603138,0.27710843373493976,0.3132530120481928,0.6888888888888889,0.03239417719358502,0.6388888888888888,0.7222222222222222,0.3111111111111111,0.03239417719358499,0.2777777777777778,0.3611111111111111,0.4,0.07576767609436585,0.2777777777777778,0.5,2.603846153846154,0.5569676990198618,2.0,3.6
gpt-4o-mini,random_deferral,Random,0.3,0.75,5,120,36.0,0.3,True,0.46,0.019293061504650363,0.43333333333333335,0.49166666666666664,0.30714285714285716,0.01388321879725073,0.2857142857142857,0.32142857142857145,0.7,0.0,0.7,0.7,0.6928571428571428,0.0138832187972507,0.6785714285714286,0.7142857142857143,0.2987951807228916,0.014050486493603138,0.27710843373493976,0.3132530120481928,0.6888888888888889,0.03239417719358502,0.6388888888888888,0.7222222222222222,0.3111111111111111,0.03239417719358499,0.2777777777777778,0.3611111111111111,0.5055555555555555,0.06431020501550126,0.4166666666666667,0.6111111111111112,2.0097495074584857,0.2516653743922916,1.6363636363636365,2.4
gpt-4o-mini,random_deferral,Random,0.3,0.9,5,120,36.0,0.3,True,0.49333333333333335,0.016158932858054444,0.4666666666666667,0.5166666666666667,0.30714285714285716,0.01388321879725073,0.2857142857142857,0.32142857142857145,0.7,0.0,0.7,0.7,0.6928571428571428,0.0138832187972507,0.6785714285714286,0.7142857142857143,0.2987951807228916,0.014050486493603138,0.27710843373493976,0.3132530120481928,0.6888888888888889,0.03239417719358502,0.6388888888888888,0.7222222222222222,0.3111111111111111,0.03239417719358499,0.2777777777777778,0.3611111111111111,0.6166666666666667,0.053863109526848085,0.5277777777777778,0.6944444444444444,1.6345363012273768,0.1485668089101268,1.44,1.894736842105263
